cik,nom,probleme
0000004904,American Electric Power,aucune etiquette pour recherche
0000004962,American Express,aucune etiquette pour recherche
0000004977,Aflac,aucune etiquette pour investissement
0000004977,Aflac,aucune etiquette pour recherche
0000005272,American International Group,aucune etiquette pour recherche
0000011544,W. R. Berkley Corporation,aucune etiquette pour recherche
0000014693,Brown–Forman,aucune etiquette pour recherche
0000016918,Constellation Brands,aucune etiquette pour recherche
0000019617,JPMorgan Chase,aucune etiquette pour investissement
0000019617,JPMorgan Chase,aucune etiquette pour recherche
0000020286,Cincinnati Financial,aucune etiquette pour recherche
0000021344,Coca-Cola Company (The),aucune etiquette pour recherche
0000024545,Molson Coors Beverage Company,aucune etiquette pour recherche
0000027419,Target Corporation,aucune etiquette pour recherche
0000027904,Delta Air Lines,aucune etiquette pour recherche
0000029534,Dollar General,aucune etiquette pour recherche
0000029989,Omnicom Group,aucune etiquette pour recherche
0000033185,Equifax,aucune etiquette pour recherche
0000033213,EQT Corporation,aucune etiquette pour recherche
0000034903,Federal Realty Investment Trust,aucune etiquette pour recherche
0000035527,Fifth Third Bancorp,aucune etiquette pour recherche
0000036104,U.S. Bancorp,aucune etiquette pour investissement
0000036104,U.S. Bancorp,aucune etiquette pour recherche
0000036270,M&T Bank,aucune etiquette pour recherche
0000038777,Franklin Resources,aucune etiquette pour recherche
0000040533,General Dynamics,aucune etiquette pour recherche
0000040987,Genuine Parts Company,aucune etiquette pour recherche
0000048898,Hubbell Incorporated,aucune etiquette pour recherche
0000049071,Humana,aucune etiquette pour recherche
0000049196,Huntington Bancshares,aucune etiquette pour recherche
0000051434,International Paper,aucune etiquette pour recherche
0000052988,Jacobs Solutions,aucune etiquette pour recherche
0000056873,Kroger,aucune etiquette pour recherche
0000060086,Loews Corporation,aucune etiquette pour recherche
0000060667,Lowe's,aucune etiquette pour recherche
0000062709,Marsh McLennan,aucune etiquette pour recherche
0000062996,Masco,aucune etiquette pour recherche
0000063908,McDonald's,aucune etiquette pour recherche
0000064040,S&P Global,aucune etiquette pour recherche
0000064803,CVS Health,aucune etiquette pour recherche
0000065984,Entergy,aucune etiquette pour recherche
0000070858,Bank of America,aucune etiquette pour recherche
0000072741,Eversource Energy,aucune etiquette pour recherche
0000072903,Xcel Energy,aucune etiquette pour recherche
0000072971,Wells Fargo,aucune etiquette pour investissement
0000072971,Wells Fargo,aucune etiquette pour recherche
0000073124,Northern Trust,aucune etiquette pour recherche
0000073309,Nucor,aucune etiquette pour recherche
0000074208,"UDR, Inc.",aucune etiquette pour recherche
0000079282,Brown & Brown,aucune etiquette pour recherche
0000080661,Progressive Corporation,aucune etiquette pour recherche
0000084839,"Rollins, Inc.",aucune etiquette pour recherche
0000086312,Travelers Companies (The),aucune etiquette pour investissement
0000086312,Travelers Companies (The),aucune etiquette pour recherche
0000091576,KeyCorp,aucune etiquette pour recherche
0000092122,Southern Company,aucune etiquette pour recherche
0000092230,Truist Financial,aucune etiquette pour chiffre_affaires
0000092230,Truist Financial,aucune etiquette pour recherche
0000092380,Southwest Airlines,aucune etiquette pour recherche
0000093751,State Street Corporation,aucune etiquette pour recherche
0000096021,Sysco,aucune etiquette pour recherche
0000100517,United Airlines Holdings,aucune etiquette pour recherche
0000100885,Union Pacific Corporation,aucune etiquette pour recherche
0000104169,Walmart,aucune etiquette pour recherche
0000105634,Emcor,aucune etiquette pour recherche
0000107263,Williams Companies,aucune etiquette pour recherche
0000109198,TJX Companies,aucune etiquette pour recherche
0000202058,L3Harris,aucune etiquette pour recherche
0000277135,W. W. Grainger,aucune etiquette pour recherche
0000277948,CSX Corporation,aucune etiquette pour recherche
0000315293,Aon plc,aucune etiquette pour recherche
0000316709,Charles Schwab Corporation,aucune etiquette pour recherche
0000320187,"Nike, Inc.",aucune etiquette pour recherche
0000320335,Globe Life,aucune etiquette pour recherche
0000352541,Alliant Energy,aucune etiquette pour recherche
0000352915,Universal Health Services,aucune etiquette pour recherche
0000354190,Arthur J. Gallagher & Co.,aucune etiquette pour recherche
0000354950,Home Depot (The),aucune etiquette pour recherche
0000702165,Norfolk Southern,aucune etiquette pour recherche
0000713676,PNC Financial Services,aucune etiquette pour investissement
0000713676,PNC Financial Services,aucune etiquette pour recherche
0000715957,Dominion Energy,aucune etiquette pour recherche
0000719955,"Williams-Sonoma, Inc.",aucune etiquette pour recherche
0000720005,Raymond James Financial,aucune etiquette pour recherche
0000721371,Cardinal Health,aucune etiquette pour recherche
0000723254,Cintas,aucune etiquette pour recherche
0000723531,Paychex,aucune etiquette pour recherche
0000726728,Realty Income,aucune etiquette pour recherche
0000726958,Casey's,aucune etiquette pour recherche
0000728535,J.B. Hunt,aucune etiquette pour recherche
0000731766,UnitedHealth Group,aucune etiquette pour recherche
0000731802,Atmos Energy,aucune etiquette pour recherche
0000732712,Verizon,aucune etiquette pour recherche
0000732717,AT&T,aucune etiquette pour recherche
0000740260,Ventas,aucune etiquette pour recherche
0000745732,Ross Stores,aucune etiquette pour recherche
0000746515,Expeditors International,aucune etiquette pour recherche
0000749251,Gartner,aucune etiquette pour recherche
0000753308,NextEra Energy,aucune etiquette pour investissement
0000753308,NextEra Energy,aucune etiquette pour recherche
0000759944,Citizens Financial Group,aucune etiquette pour recherche
0000764478,Best Buy,aucune etiquette pour recherche
0000764622,Pinnacle West Capital,aucune etiquette pour recherche
0000765880,Healthpeak Properties,aucune etiquette pour recherche
0000766704,Welltower,aucune etiquette pour recherche
0000783325,WEC Energy Group,aucune etiquette pour recherche
0000788784,Public Service Enterprise Group,aucune etiquette pour recherche
0000789570,MGM Resorts,aucune etiquette pour recherche
0000796343,Adobe Inc.,aucune etiquette pour recherche
0000797468,Occidental Petroleum,aucune etiquette pour recherche
0000798354,Fiserv,aucune etiquette pour recherche
0000811156,CMS Energy,aucune etiquette pour recherche
0000813672,Cadence Design Systems,aucune etiquette pour recherche
0000815097,Carnival Corporation,aucune etiquette pour recherche
0000815556,Fastenal,aucune etiquette pour recherche
0000820027,Ameriprise Financial,aucune etiquette pour recherche
0000821189,EOG Resources,aucune etiquette pour recherche
0000822416,PulteGroup,aucune etiquette pour recherche
0000823768,Waste Management,aucune etiquette pour recherche
0000827052,Edison International,aucune etiquette pour recherche
0000829224,Starbucks,aucune etiquette pour recherche
0000831001,Citigroup,aucune etiquette pour recherche
0000831259,Freeport-McMoRan,aucune etiquette pour recherche
0000849395,CRH plc,aucune etiquette pour recherche
0000860730,HCA Healthcare,aucune etiquette pour recherche
0000860731,Tyler Technologies,aucune etiquette pour recherche
0000865752,Monster Beverage,aucune etiquette pour recherche
0000866787,AutoZone,aucune etiquette pour recherche
0000874761,AES Corporation,aucune etiquette pour recherche
0000874766,Hartford (The),aucune etiquette pour recherche
0000878927,Old Dominion,aucune etiquette pour recherche
0000879101,Kimco Realty,aucune etiquette pour recherche
0000882184,D. R. Horton,aucune etiquette pour recherche
0000884887,Royal Caribbean Group,aucune etiquette pour recherche
0000886982,Goldman Sachs,aucune etiquette pour recherche
0000895126,Expand Energy,aucune etiquette pour recherche
0000895421,Morgan Stanley,aucune etiquette pour recherche
0000896159,Chubb Limited,aucune etiquette pour investissement
0000896159,Chubb Limited,aucune etiquette pour recherche
0000898173,O'Reilly Automotive,aucune etiquette pour recherche
0000899051,Allstate,aucune etiquette pour recherche
0000900075,Copart,aucune etiquette pour recherche
0000906107,Vivmark Residential,aucune etiquette pour recherche
0000906163,"NVR, Inc.",aucune etiquette pour recherche
0000906345,Camden Property Trust,aucune etiquette pour recherche
0000909832,Costco,aucune etiquette pour recherche
0000910606,Regency Centers,aucune etiquette pour recherche
0000912595,Mid-America Apartment Communities,aucune etiquette pour recherche
0000914208,Invesco,aucune etiquette pour recherche
0000916076,Martin Marietta Materials,aucune etiquette pour recherche
0000916365,Tractor Supply,aucune etiquette pour recherche
0000920148,Labcorp,aucune etiquette pour recherche
0000920522,Essex Property Trust,aucune etiquette pour recherche
0000920760,Lennar,aucune etiquette pour recherche
0000922224,PPL Corporation,aucune etiquette pour recherche
0000922621,Erie Indemnity,aucune etiquette pour recherche
0000927066,DaVita,aucune etiquette pour recherche
0000927628,Capital One,aucune etiquette pour recherche
0000935703,Dollar Tree,aucune etiquette pour recherche
0000936340,DTE Energy,aucune etiquette pour investissement
0000936340,DTE Energy,aucune etiquette pour recherche
0000940944,Darden Restaurants,aucune etiquette pour recherche
0000946581,Take-Two Interactive,aucune etiquette pour recherche
0000947484,Arch Capital Group,aucune etiquette pour recherche
0001000228,Henry Schein,aucune etiquette pour recherche
0001002910,Ameren,aucune etiquette pour recherche
0001004980,PG&E Corporation,aucune etiquette pour recherche
0001018724,Amazon,aucune etiquette pour recherche
0001020569,Iron Mountain,aucune etiquette pour recherche
0001022079,Quest Diagnostics,aucune etiquette pour recherche
0001022671,Steel Dynamics,aucune etiquette pour recherche
0001031296,FirstEnergy,aucune etiquette pour recherche
0001032208,Sempra,aucune etiquette pour recherche
0001034054,SBA Communications,aucune etiquette pour recherche
0001035002,Valero Energy,aucune etiquette pour recherche
0001035443,Alexandria Real Estate Equities,aucune etiquette pour recherche
0001035983,Comfort Systems USA,aucune etiquette pour recherche
0001037038,Ralph Lauren Corporation,aucune etiquette pour recherche
0001037540,"BXP, Inc.",aucune etiquette pour recherche
0001039684,Oneok,aucune etiquette pour recherche
0001043277,C.H. Robinson,aucune etiquette pour recherche
0001045609,Prologis,aucune etiquette pour recherche
0001048286,Marriott International,aucune etiquette pour recherche
0001048911,FedEx,aucune etiquette pour recherche
0001050915,Quanta Services,aucune etiquette pour recherche
0001051470,Crown Castle,aucune etiquette pour recherche
0001053507,American Tower,aucune etiquette pour recherche
0001057352,CoStar Group,aucune etiquette pour recherche
0001058090,Chipotle Mexican Grill,aucune etiquette pour recherche
0001058290,Cognizant,aucune etiquette pour recherche
0001060391,Republic Services,aucune etiquette pour recherche
0001063761,Simon Property Group,aucune etiquette pour recherche
0001067701,United Rentals,aucune etiquette pour recherche
0001067983,Berkshire Hathaway,aucune etiquette pour recherche
0001070750,Host Hotels & Resorts,aucune etiquette pour recherche
0001071739,Centene Corporation,aucune etiquette pour recherche
0001075531,Booking Holdings,aucune etiquette pour recherche
0001090012,Devon Energy,aucune etiquette pour recherche
0001090727,United Parcel Service,aucune etiquette pour recherche
0001091667,Charter Communications,aucune etiquette pour recherche
0001095073,Everest Group,aucune etiquette pour investissement
0001095073,Everest Group,aucune etiquette pour recherche
0001099219,MetLife,aucune etiquette pour investissement
0001099219,MetLife,aucune etiquette pour recherche
0001100682,Charles River Laboratories,aucune etiquette pour recherche
0001101239,Equinix,aucune etiquette pour recherche
0001109357,Exelon,aucune etiquette pour recherche
0001111711,NiSource,aucune etiquette pour recherche
0001113169,T. Rowe Price,aucune etiquette pour recherche
0001116132,"Tapestry, Inc.",aucune etiquette pour recherche
0001120193,"Nasdaq, Inc.",aucune etiquette pour recherche
0001123360,Global Payments,aucune etiquette pour recherche
0001126328,Principal Financial Group,aucune etiquette pour investissement
0001126328,Principal Financial Group,aucune etiquette pour recherche
0001130310,CenterPoint Energy,aucune etiquette pour recherche
0001136893,Fidelity National Information Services,aucune etiquette pour recherche
0001137774,Prudential Financial,aucune etiquette pour investissement
0001137774,Prudential Financial,aucune etiquette pour recherche
0001138118,CBRE Group,aucune etiquette pour recherche
0001140536,Willis Towers Watson,aucune etiquette pour recherche
0001140859,Cencora,aucune etiquette pour recherche
0001141391,Mastercard,aucune etiquette pour recherche
0001156039,Elevance Health,aucune etiquette pour recherche
0001156375,CME Group,aucune etiquette pour recherche
0001166691,Comcast,aucune etiquette pour recherche
0001174922,Wynn Resorts,aucune etiquette pour recherche
0001175454,Corpay,aucune etiquette pour recherche
0001176948,Ares Management,aucune etiquette pour recherche
0001267238,Assurant,aucune etiquette pour recherche
0001281761,Regions Financial Corporation,aucune etiquette pour investissement
0001281761,Regions Financial Corporation,aucune etiquette pour recherche
0001283699,T-Mobile US,aucune etiquette pour recherche
0001285785,Mosaic Company (The),aucune etiquette pour recherche
0001286681,Domino's,aucune etiquette pour recherche
0001289490,Extra Space Storage,aucune etiquette pour recherche
0001297996,Digital Realty,aucune etiquette pour recherche
0001316835,Builders FirstSource,aucune etiquette pour recherche
0001324404,CF Industries,aucune etiquette pour recherche
0001324424,Expedia Group,aucune etiquette pour recherche
0001326160,Duke Energy,aucune etiquette pour recherche
0001335258,Live Nation Entertainment,aucune etiquette pour recherche
0001374310,Cboe Global Markets,aucune etiquette pour recherche
0001381197,Interactive Brokers,aucune etiquette pour recherche
0001383312,Broadridge Financial Solutions,aucune etiquette pour recherche
0001389170,Targa Resources,aucune etiquette pour recherche
0001390777,BNY Mellon,aucune etiquette pour recherche
0001393311,Public Storage,aucune etiquette pour recherche
0001393818,Blackstone Inc.,aucune etiquette pour recherche
0001396009,Vulcan Materials Company,aucune etiquette pour recherche
0001397187,Lululemon Athletica,aucune etiquette pour recherche
0001402057,CDW Corporation,aucune etiquette pour recherche
0001403161,Visa Inc.,aucune etiquette pour recherche
0001403568,Ulta Beauty,aucune etiquette pour recherche
